SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
1, -0.0000, 0, 0.03059036, -0.23376335, -0.97087306, 0.00375430, 0.27081600, -0.01901342, -15.28138542, 4.37644243, -46.46794891, 13.27749062, 1.81461370, 27.77118111, -0.96458608, 0.10844170, 0.04300978, 0.23656766, -0.00166174, -0.00141298, -0.00066107, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0025, 1, 0.03166548, -0.23206803, -0.96962726, 0.00492522, 0.27155605, -0.08916341, -15.28138542, 4.37644243, -46.46794891, 13.27678204, 1.81610310, 27.77038765, -0.96458858, 0.10843291, 0.04302009, 0.23655973, -0.00270739, -0.00308883, -0.00192169, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0550, 2, 0.02911099, -0.23231438, -0.97003239, 0.00361683, 0.06219563, 0.04982004, -14.34971619, 3.71702695, -46.84002686, 13.26751423, 1.82837951, 27.76726341, -0.96460509, 0.10833034, 0.04310125, 0.23652449, 0.00006013, -0.00268589, -0.00153855, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0575, 3, 0.02790333, -0.23377264, -0.97054869, -0.06782318, -0.07745821, 0.11834517, -14.34971619, 3.71702695, -46.84002686, 13.26699924, 1.82767475, 27.76801682, -0.96460396, 0.10832720, 0.04309497, 0.23653175, 0.00125401, -0.00122202, -0.00101279, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0600, 4, 0.02965790, -0.23337455, -0.97416657, -0.06851214, 0.06112866, 0.11922286, -14.34971619, 3.71702695, -46.84002686, 13.26596069, 1.82795131, 27.76890373, -0.96460313, 0.10831755, 0.04309600, 0.23653932, -0.00050592, -0.00162338, 0.00259372, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0625, 5, 0.02914210, -0.23424545, -0.97187138, -0.06734122, 0.06186869, 0.04907286, -15.19403839, 4.13665581, -46.89726639, 13.26536369, 1.82807148, 27.76961327, -0.96460223, 0.10831201, 0.04309645, 0.23654541, 0.00001844, -0.00072903, 0.00030286, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0650, 6, 0.02998122, -0.23437381, -0.97076559, -0.13947016, 0.06080171, 0.11847568, -15.19403839, 4.13665581, -46.89726639, 13.26489830, 1.82841623, 27.77037621, -0.96460116, 0.10830707, 0.04309910, 0.23655164, -0.00081155, -0.00058634, -0.00080631, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0675, 7, 0.02961547, -0.23437469, -0.97077107, 0.07409292, -0.07680432, 0.11983952, -15.19403839, 4.13665581, -46.89726639, 13.26493931, 1.82833850, 27.77103424, -0.96459973, 0.10830734, 0.04309916, 0.23655725, -0.00044719, -0.00058622, -0.00079968, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0700, 8, 0.02864426, -0.23510565, -0.97091317, 0.14704831, -0.00570389, -0.01927444, -15.19403839, 4.13665581, -46.89726639, 13.26547623, 1.82804549, 27.77143669, -0.96459836, 0.10831231, 0.04309817, 0.23656072, 0.00051850, 0.00013479, -0.00064866, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0725, 9, 0.02864426, -0.23510565, -0.97091317, 0.14704831, -0.00570389, -0.01927444, -15.19403839, 4.13665581, -46.89726639, 13.26600361, 1.82775664, 27.77179527, -0.96459711, 0.10831723, 0.04309718, 0.23656386, 0.00051345, 0.00012576, -0.00064664, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0750, 10, 0.02996285, -0.23475032, -0.96930993, 0.07374844, -0.00751089, 0.12027837, -15.57253265, 3.92683959, -46.35345840, 13.26633263, 1.82808661, 27.77229118, -0.96459574, 0.10831912, 0.04310111, 0.23656756, -0.00079484, -0.00022579, -0.00225414, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0775, 11, 0.02996285, -0.23475032, -0.96930993, 0.07374844, -0.00751089, 0.12027837, -15.57253265, 3.92683959, -46.35345840, 13.26665401, 1.82841408, 27.77258873, -0.96459490, 0.10832103, 0.04310480, 0.23656960, -0.00078912, -0.00023127, -0.00225267, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0800, 12, 0.03118610, -0.23498869, -0.96953666, -0.06851214, 0.06112866, 0.11922286, -15.57253265, 3.92683959, -46.35345840, 13.26665783, 1.82930398, 27.77278900, -0.96459454, 0.10831911, 0.04311248, 0.23657039, -0.00199748, 0.00000586, -0.00202754, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0825, 13, 0.03118610, -0.23498869, -0.96953666, -0.06851214, 0.06112866, 0.11922286, -15.57253265, 3.92683959, -46.35345840, 13.26666355, 1.83018994, 27.77282906, -0.96459460, 0.10831729, 0.04311999, 0.23656985, -0.00198206, 0.00000595, -0.00202702, 0.00000000, 0.00000000, 0.00000000, 0.00000000
1, 0.0850, 14, 0.03166768, -0.23608783, -0.96880889, -0.06851214, 0.06112866, 0.11922286, -15.57253265, 3.92683959, -46.35345840, 13.26714993, 1.83124840, 27.77277374, -0.96459436, 0.10831919, 0.04312984, 0.23656812, -0.00244312, 0.00110110, -0.00274720, 0.00000000, 0.00000000, 0.00000000, 0.00000000
