AccX,AccY,AccZ,GyroX,GyroY,GyroZ
-0.03,-0.01,1.04,0.24,0.55,0.37
-0.03,0,1.04,0.37,0.49,0.12
-0.03,-0.01,1.04,0.24,0.55,0.31
-0.03,-0.01,1.04,0.37,0.79,0.24
0,-0.01,1.03,0.37,-2.38,1.4
-0.06,0,1.04,0.12,1.53,0.67
-0.05,0,1.04,0.43,0.37,0.61
0.14,0.01,1.04,-0.79,-0.92,0.92
-0.08,0.03,1.06,5.92,2.44,-0.55
-0.07,0.03,1.03,1.1,0.12,0.43
-0.07,0.08,1.04,1.53,1.04,-0.06
-0.02,0.14,0.97,-30.03,-0.06,0.31
-0.03,0.18,1.03,-6.1,0.43,1.16
0,0.2,1.02,6.35,0.55,-0.55
-0.05,0.26,1.01,0.31,0.43,0.67
-0.07,0.31,1,5.49,0.55,0.18
-0.03,0.32,0.99,-0.73,0.43,0.61
-0.15,0.33,0.99,-3.54,-0.24,0.55
-0.02,0.3,0.99,2.44,-0.06,0.06
-0.05,0.29,1.01,2.08,0.31,0.55
-0.11,0.31,0.97,9.16,4.64,-1.71
-0.04,0.34,1.02,-2.69,0.98,0.79
0.04,0.33,0.99,-1.59,0.18,0.73
0,0.33,0.99,1.4,0.37,0.79
-0.03,0.34,0.98,0.43,0.98,0.18
0.05,0.34,0.99,-1.77,0.18,-0.18
-0.01,0.34,0.98,-0.43,0.18,0.37
0.11,0.31,0.95,-8,6.23,1.59
-0.06,0.37,0.97,8.24,3.66,-0.67
-0.01,0.35,0.99,1.95,2.81,0.18
0.07,0.43,0.96,-17.27,-1.53,4.46
-0.02,0.42,0.95,-0.92,0.24,1.28
-0.03,0.45,0.93,-0.43,-0.85,-1.89
-0.03,0.45,0.93,0.49,0.73,0.12
-0.03,0.45,0.93,0.31,0.61,0.31
-0.03,0.45,0.93,0.37,0.49,0.24
-0.03,0.45,0.93,0.49,0.79,0.31
-0.03,0.45,0.93,0.37,0.79,0.31
-0.03,0.45,0.93,0.18,0.73,0.31
-0.03,0.45,0.93,0.43,0.85,0.18
-0.03,0.45,0.93,0.24,0.49,0.24
-0.03,0.45,0.93,0.31,0.61,0.31
-0.03,0.45,0.93,0.43,0.55,0.31
