ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
1.1545,2.2253,9.3538,1.1816,2.7067,9.3514,0.0586,-0.5794,-0.4207,-0.2537,-0.1295,-0.1885,321,38.53,98.89,22.18,337.74,-16.02,-7.2,50.748,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,13,2021-09-21 16:26:19:085
0.8411,2.2597,9.5617,1.0035,2.3413,9.47,-0.1002,-0.1491,-0.0265,0.0697,0.1301,-0.0515,344,38.27,99.21,19.65,338.71,-13.42,-6.91,52.983,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,514,2021-09-21 16:26:19:586
0.9302,2.6791,9.4391,0.8578,2.591,9.4192,0.0953,0.0606,-0.0517,-0.035,0.1392,0.0173,318,40.46,96.6,20.31,336.47,-15.32,-5.2,51.706,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,1012,2021-09-21 16:26:20:084
1.0421,2.2475,9.5533,0.9479,2.183,9.5135,0.0862,0.0403,-0.0348,-0.0637,-0.0622,0.0073,337,39.75,97.69,18.75,337.08,-13.31,-5.16,68.652,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,1514,2021-09-21 16:26:20:586
1.1133,1.9507,9.6072,1.0056,2.0016,9.5474,0.1249,-0.0662,-0.038,-0.0024,0.0389,0.0368,356,39.28,100.48,21.19,338.46,-11.87,-5.97,52.763,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,2014,2021-09-21 16:26:21:086
0.699,3.5504,9.3607,0.8375,3.6174,9.0765,-0.3253,-0.4704,0.2635,0.6458,0.0684,0.0788,321,39.71,97.89,21.24,336.78,-14.38,-4.7,52.306,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,2514,2021-09-21 16:26:21:586
0.399,4.3421,8.7398,0.4934,5.0256,8.4066,0.1174,-0.932,0.2534,0.2901,0.18,0.0761,137,40.52,89.38,23.64,327.86,-30.83,-3.36,56.641,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,3012,2021-09-21 16:26:22:084
-0.0855,4.7306,6.9428,0.2677,5.8231,7.8861,-0.4248,-1.1292,-1.0234,-0.0794,0.3526,0.3777,66,42.6,88.16,25.69,322.32,-36.43,-1.94,61.295,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,3512,2021-09-21 16:26:22:584
0.6694,3.6084,8.6809,0.3577,3.4688,9.1657,0.3542,0.2505,-0.6262,-0.5328,0.1724,0.3659,155,43.76,102.73,19.63,332.97,-24.6,-2.32,58.418,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,4014,2021-09-21 16:26:23:086
0.3544,1.3768,10.4635,0.7909,1.2015,9.7006,-0.5034,0.7635,0.3528,-0.83,0.0525,0.2737,320,41.48,115.52,19.63,340,-13.6,-5.19,57.448,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,4513,2021-09-21 16:26:23:585
1.6884,1.2377,11.3219,0.9039,0.9773,9.7159,0.677,0.2181,1.4576,0.5062,-0.0618,0.4836,386,42.86,121.48,21,341.04,-2.77,-4.74,54.232,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,5012,2021-09-21 16:26:24:084
-0.093,3.1241,8.9877,0.0559,3.2442,9.2543,-0.0456,-0.4468,-0.3448,0.4096,0.1045,0.1405,272,48.19,110.1,18.69,334.53,-16.46,-1.34,54.451,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,5512,2021-09-21 16:26:24:584
0.3664,3.6114,9.1857,0.2909,4.0292,8.936,0.3859,-0.2396,-0.2601,0.3312,0.6215,0.2033,105,46.48,105.92,19.24,333.32,-22.98,-3.45,59.125,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,6012,2021-09-21 16:26:25:084
-0.1217,3.5145,7.317,-0.1166,4.3804,8.7732,-0.2888,-0.9216,-1.9297,-0.2651,-0.1382,0.5914,122,51.24,102.54,16.78,327.85,-29.66,3.48,60.601,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,6512,2021-09-21 16:26:25:584
1.0765,1.7303,10.0496,0.0884,2.6204,9.4497,0.8329,-0.5781,0.4616,-0.5146,0.3357,0.6816,280,52.91,118.46,19.35,333.6,-18.24,-1.53,55.231,43.07241,-89.40958,751.29,,0,47.05484,,0 / 19,7012,2021-09-21 16:26:26:084
