ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.5565,9.3766,6.5282,-1.1092,8.0671,5.4646,-0.7235,1.1392,1.3661,1.0713,0.8533,0.4861,194,70.69,91.37,40.67,299.77,-46.26,11.99,52.641,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,10,2021-09-21 17:05:28:505
0.2967,9.1346,1.5398,-0.4048,9.7223,1.2178,0.2857,-1.6085,0.4109,0.4373,0.4341,0.0461,97,74.01,71.21,62.66,253.41,-82.48,18.39,53.515,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,511,2021-09-21 17:05:29:006
0.6778,9.8752,-0.9984,-0.4734,9.7806,-0.5342,1.1723,-0.0499,-0.4585,0.1791,0.5585,-0.1959,112,79.2,70.35,75.21,355.17,-86.85,128.52,53.394,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,1011,2021-09-21 17:05:29:506
-0.8124,9.1633,0.3897,-0.6646,9.7664,0.5876,-0.0771,-0.8273,-0.3037,-0.2072,-0.265,0.0878,160,75.23,74.29,65.51,280.92,-84.81,48.52,53.58,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,1511,2021-09-21 17:05:30:006
-0.8444,8.4568,1.7267,-0.5973,9.6742,1.4911,-0.3924,-0.8999,-0.3188,-0.1597,-0.316,-0.1105,144,68.57,74.85,57.43,257.93,-81.81,20.6,52.194,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,2012,2021-09-21 17:05:30:507
0.3308,9.6488,3.3769,-0.3784,9.3585,2.9063,0.8394,0.4415,0.7714,-0.023,0.3017,-0.0645,189,66.49,79.99,51.84,256.62,-72.61,7.42,50.182,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,2512,2021-09-21 17:05:31:007
-0.5375,9.204,3.3078,-0.4882,9.1734,3.4323,0.0622,0.4175,-0.1651,-0.3292,0.2456,-0.0066,263,69.64,81.43,53.94,261.98,-70.66,10.61,53.582,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,3011,2021-09-21 17:05:31:506
0.2776,8.8887,5.6536,-0.329,8.3172,5.1853,0.067,0.4005,0.4884,-0.6554,-0.1764,-0.1372,318,61.52,87.71,39.58,284.03,-58.01,3.63,59.072,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,3511,2021-09-21 17:05:32:006
0.2333,8.4287,6.0742,0.0519,7.6032,6.1935,0.1968,0.7045,-0.2336,-0.2826,-0.1389,-0.2878,317,48.92,94.41,39.34,300.56,-50.97,0.12,61.336,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,4011,2021-09-21 17:05:32:506
-0.4107,7.4662,6.4579,0.0497,8.2101,5.363,-0.4958,-0.9243,1.9674,0.6223,0.0687,-0.2091,283,50.78,92.83,49.28,280.58,-56.85,-0.53,53.264,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,4510,2021-09-21 17:05:33:005
-0.3287,8.6267,3.4579,-0.2912,9.4023,2.7717,-0.0556,-1.1011,0.6867,0.5353,0.147,-0.0861,218,50.18,80.81,55.07,249.32,-71.62,6.37,53.274,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,5010,2021-09-21 17:05:33:505
0.5058,10.2538,1.2293,0.0106,9.7768,0.764,0.6577,0.2316,0.8295,0.6536,0.0359,-0.095,146,53.91,73.39,69.45,219.71,-85.53,-0.8,50.449,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,5511,2021-09-21 17:05:34:006
-1.1599,7.6902,0.9912,-0.8306,9.7362,0.8291,-0.4047,-2.3798,-0.1117,-0.5459,0.5043,-0.1891,184,59.16,71.12,75.21,326.67,-87.96,107.66,49.811,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,6011,2021-09-21 17:05:34:506
-0.1307,10.2072,2.9201,-0.4037,9.3219,3.0183,0.3674,0.9098,0.0791,0.1403,-0.2197,0.0864,264,57.64,78.45,60.71,248.42,-71.91,7.62,55.631,43.072414,-89.4096,751.29,,0,44.03871,,0 / 18,6511,2021-09-21 17:05:35:006
